Date,Description,Amount,Balance
2025-06-11,"AMAZON PURCHASE 06/11 BRYAN TX",-27.45,1293.25
2025-06-11,"STARBUCKS 06/11",-4.75,1288.50
2025-06-11,"GROCERY OUTLET 06/11",-48.61,1239.89
2025-06-12,"SPOTIFY SUBSCRIPTION 06/12",-5.99,1233.90
2025-06-12,"WALMART SUPERCENTER 06/12",-26.44,1207.46
2025-06-12,"PAPA JOHN'S PIZZA 06/12",-17.92,1189.54
2025-06-13,"WATER BILL PAYMENT 06/13",-21.38,1168.16
2025-06-13,"MOBILE GAS 06/13",-31.27,1136.89
2025-06-13,"APPLE.COM BILLING 06/13",-9.99,1126.90
2025-06-14,"TARGET 06/14 COLLEGE STATION",-33.87,1093.03
2025-06-14,"PAYROLL DEPOSIT 06/14",497.12,1590.15
2025-06-14,"HULU SUBSCRIPTION 06/14",-7.99,1582.16
2025-06-15,"MOVIE THEATER 06/15",-18.50,1563.66
2025-06-15,"GROCERY OUTLET 06/15",-55.41,1508.25
2025-06-15,"UBER EATS 06/15",-24.63,1483.62
2025-06-16,"GYM MEMBERSHIP 06/16",-34.00,1449.62
2025-06-16,"AMAZON PURCHASE 06/16",-26.78,1422.84
2025-06-16,"STARBUCKS 06/16",-4.75,1418.09
2025-06-17,"APPLE.COM BILLING 06/17",-12.99,1405.10
2025-06-17,"PAYROLL DEPOSIT 06/17",489.78,1894.88
2025-06-18,"WALMART SUPERCENTER 06/18",-38.01,1856.87
2025-06-18,"SUBWAY 06/18",-10.14,1846.73
2025-06-19,"AMAZON PURCHASE 06/19",-42.37,1804.36
2025-06-19,"GROCERY OUTLET 06/19",-47.12,1757.24
2025-06-20,"ELECTRIC BILL PAYMENT 06/20",-106.61,1650.63
2025-06-20,"MOBILE GAS 06/20",-27.70,1622.93
2025-06-20,"DONUT SHOP 06/20",-4.50,1618.43
2025-06-20,"CHEESECAKE FACTORY 06/20",-35.50,1582.93
2025-06-20,"PET SUPPLIES 06/20",-57.90,1525.03
