Date,Description,Amount,Balance
2025-06-01,"AMAZON PURCHASE 06/01 BRYAN TX",-32.89,992.47
2025-06-01,"GROCERY OUTLET 06/01 BRYAN TX",-45.17,947.30
2025-06-02,"SPOTIFY SUBSCRIPTION 06/02",-5.99,941.31
2025-06-02,"WALMART SUPERCENTER 06/02",-26.44,914.87
2025-06-02,"PAPA JOHN'S PIZZA 06/02",-18.76,896.11
2025-06-03,"WATER BILL PAYMENT 06/03",-21.38,874.73
2025-06-03,"MOBILE GAS 06/03",-34.22,840.51
2025-06-03,"STARBUCKS 06/03",-4.85,835.66
2025-06-04,"APPLE.COM BILLING 06/04",-9.99,825.67
2025-06-04,"TARGET 06/04 COLLEGE STATION",-37.14,788.53
2025-06-04,"PAYROLL DEPOSIT 06/04",468.22,1256.75
2025-06-05,"GROCERY OUTLET 06/05",-52.33,1204.42
2025-06-05,"HULU SUBSCRIPTION 06/05",-7.99,1196.43
2025-06-05,"MOVIE THEATER 06/05",-16.50,1179.93
2025-06-06,"AMAZON PURCHASE 06/06",-28.40,1151.53
2025-06-06,"UBER EATS 06/06",-22.87,1128.66
2025-06-07,"GYM MEMBERSHIP 06/07",-34.00,1094.66
2025-06-07,"WALMART SUPERCENTER 06/07",-31.28,1063.38
2025-06-07,"STARBUCKS 06/07",-4.75,1058.63
2025-06-08,"APPLE.COM BILLING 06/08",-14.99,1043.64
2025-06-08,"PAYROLL DEPOSIT 06/08",470.23,1513.87
2025-06-09,"AMAZON PURCHASE 06/09",-36.42,1477.45
2025-06-09,"SUBWAY 06/09",-9.61,1467.84
2025-06-10,"GROCERY OUTLET 06/10",-49.18,1418.66
2025-06-10,"ELECTRIC BILL PAYMENT 06/10",-97.96,1320.70
